effort,lettergrade,score,
1.4,C,7.016
1.3,C,7.788
1.1,F,5.376000000000001
1.1,C,7.0
1.4,B,8.2
1.2,F,4.896
1.1,B,8.8
1.3,F,5.288
1.1,F,4.464
1.5,A,9.399999999999999
1.5,F,4.859999999999999
1.5,C,7.26
1.5,F,5.52
1.3,C,7.24
1.4,D,6.231999999999999
1.2,F,4.416
1.2,F,2.6879999999999997
1.3,F,3.572
1.0,F,5.04
1.4,F,5.432
1.1,B,8.76
1.0,C,7.36
1.2,F,2.6879999999999997
1.0,D,6.24
1.1,C,7.428
1.2,F,3.456
1.5,C,7.0
1.3,F,2.66
1.1,D,6.4
1.4,D,6.007999999999999
1.4,F,5.4079999999999995
1.5,C,7.38
1.1,D,6.648000000000001
1.2,F,4.175999999999999
1.1,F,5.828
1.5,D,6.720000000000001
1.0,C,7.24
1.1,C,7.12
1.3,F,4.116
1.4,F,4.176
1.4,C,7.0
1.5,A,9.399999999999999
1.1,F,5.832000000000001
1.2,D,6.216
1.3,B,8.8
1.2,F,3.048
1.4,F,4.4719999999999995
1.4,F,4.664
1.2,D,6.24
1.1,F,4.276
1.1,D,6.828
1.5,F,4.2
1.4,A,9.399999999999999
1.1,C,7.5600000000000005
1.2,B,8.448
1.0,F,3.5199999999999996
1.1,D,6.316000000000001
1.3,C,7.6
1.2,C,7.6
1.0,F,4.800000000000001
1.2,C,7.992000000000001
1.3,F,3.5999999999999996
1.2,C,7.368
1.4,B,8.8
1.5,F,3.9599999999999995
1.4,C,7.768
1.5,B,8.8
1.5,C,7.0
1.0,F,4.16
1.4,D,6.776
1.0,F,5.92
1.3,F,4.327999999999999
1.5,F,4.739999999999999
1.2,F,5.688000000000001
1.4,B,8.2
1.5,B,8.8
1.2,F,3.168
1.4,C,7.151999999999999
1.3,D,6.796
1.5,C,7.0
1.3,D,6.984
1.1,F,5.8
1.4,B,8.2
1.3,F,4.4559999999999995
1.2,C,7.656000000000001
1.1,C,7.6
1.1,F,5.816000000000001
1.2,B,8.8
1.5,A,9.9
1.2,B,8.04
1.5,B,8.8
1.1,D,6.708
1.5,D,6.4
1.0,D,6.4399999999999995
1.4,B,8.8
1.5,F,5.82
1.5,D,6.18
1.4,D,6.704
1.1,D,6.4
1.2,F,4.128
1.1,B,8.2
1.5,C,7.0
1.4,B,8.2
1.5,D,6.66
1.0,D,6.119999999999999
1.5,F,4.86
1.4,F,3.824
1.4,F,5.488
1.5,B,8.8
1.5,C,7.0
1.5,D,6.18
1.3,F,5.964
1.3,B,8.2
1.4,C,7.232
1.4,B,8.176
1.1,D,6.516
1.5,D,6.9
1.2,F,4.872
1.2,D,6.12
1.1,D,6.4719999999999995
1.3,F,5.708
1.1,F,2.2119999999999997
1.2,D,6.024
1.4,F,3.8799999999999994
1.0,F,5.16
1.3,F,5.004
1.5,D,6.18
1.4,F,4.215999999999999
1.1,F,4.744
1.4,A,9.399999999999999
1.5,D,6.36
1.0,D,6.039999999999999
1.1,F,3.572
1.3,F,4.6080000000000005
1.1,C,7.516
1.2,C,7.6
1.4,B,8.2
1.5,B,8.459999999999999
1.2,B,8.424
1.0,C,7.359999999999999
1.3,C,7.6
1.3,F,4.4
1.5,C,7.0
1.3,D,6.464
1.2,F,3.96
1.5,C,7.0
1.4,B,8.2
1.4,B,8.8
1.3,B,8.8
1.5,B,8.2
1.5,B,8.8
1.0,D,6.12
1.2,A,9.399999999999999
1.5,D,6.300000000000001
1.2,D,6.767999999999999
1.3,F,5.684
1.5,F,5.04
1.5,F,4.4399999999999995
1.3,D,6.256
1.1,F,3.0759999999999996
1.3,F,4.564
1.5,F,5.220000000000001
1.0,F,5.2
1.5,A,9.399999999999999
1.4,D,6.4
1.0,F,5.84
1.1,D,6.1240000000000006
1.3,C,7.944000000000001
1.3,C,7.6
1.4,D,6.119999999999999
1.2,C,7.0
1.2,B,8.424
1.3,F,4.296
1.3,D,6.148
1.5,C,7.26
1.5,C,7.6
1.4,B,8.8
1.3,B,8.364
1.3,C,7.66
1.2,F,5.952
1.5,F,3.36
1.3,F,5.5
1.4,C,7.112
1.5,C,7.6
1.1,F,2.6359999999999997
1.2,D,6.792000000000001
1.2,B,8.2
1.3,F,5.8
1.2,B,8.2
1.4,F,4.856
1.4,B,8.2
1.2,F,5.016
1.5,C,7.38
1.1,C,7.164
1.5,F,5.1
1.5,D,6.9
1.5,C,7.5
1.4,F,5.096
1.0,F,5.16
